Book;Chapter;Verse;Content
Hosea;7;13;"Woe to them, for they have strayed from me!"
Hosea;7;14;"They do not cry to me from the heart,"
Hosea;7;15;"Although I trained and strengthened their arms,"
Hosea;7;16;"They return, but not upward;"
Hosea;8;8;"Set the trumpet to your lips!"
Hosea;8;2;"To me they cry,"
Hosea;8;3;"Israel has spurned the good;"
Hosea;8;4;"They made kings, but not through me."
Hosea;8;5;"I have spurned your calf, O Samaria."
Hosea;8;6;"For it is from Israel;"
Hosea;8;7;"For they sow the wind,"
Hosea;8;8;"Israel is swallowed up;"
Hosea;8;9;"For they have gone up to Assyria,"
Hosea;8;10;"Though they hire allies among the nations,"
Hosea;8;11;"Because Ephraim has multiplied altars for sinning,"
Hosea;8;12;"Were I to write for him my laws by the ten thousands,"
Hosea;8;13;"As for my sacrificial offerings,"
Hosea;8;14;"For Israel has forgotten his Maker"
Hosea;9;9;"Rejoice not, O Israel!"
Hosea;9;2;"Threshing floor and wine vat shall not feed them,"
Hosea;9;3;"They shall not remain in the land of the Lord,"
Hosea;9;4;"They shall not pour drink offerings of wine to the Lord,"
Hosea;9;5;"What will you do on the day of the appointed festival,"
Hosea;9;6;"For behold, they are going away from destruction;"
Hosea;9;7;"The days of punishment have come;"
Hosea;9;8;"The prophet is the watchman of Ephraim with my God;"
Hosea;9;9;"They have deeply corrupted themselves"
Hosea;9;10;"Like grapes in the wilderness,"
Hosea;9;11;"Ephraim's glory shall fly away like a bird—"
Hosea;9;12;"Even if they bring up children,"
Hosea;9;13;"Ephraim, as I have seen, was like a young palm planted in a meadow;"
Hosea;9;14;"Give them, O Lord—"
Hosea;9;15;"Every evil of theirs is in Gilgal;"
Hosea;9;16;"Ephraim is stricken;"
Hosea;9;17;"My God will reject them"
Hosea;10;10;"Israel is a luxuriant vine"
Hosea;10;2;"Their heart is false;"
Hosea;10;3;"For now they will say:"
Hosea;10;4;"They utter mere words;"
Hosea;10;5;"The inhabitants of Samaria tremble"
Hosea;10;6;"The thing itself shall be carried to Assyria"
Hosea;10;7;"Samaria's king shall perish"
Hosea;10;8;"The high places of Aven, the sin of Israel,"
Hosea;10;9;"From the days of Gibeah, you have sinned, O Israel;"
Hosea;10;10;"When I please, I will discipline them,"
Hosea;10;11;"Ephraim was a trained calf"
Hosea;10;12;"Sow for yourselves righteousness;"
Hosea;10;13;"You have plowed iniquity;"
Hosea;10;14;"therefore the tumult of war shall arise among your people,"
Hosea;10;15;"Thus it shall be done to you, O Bethel,"
Hosea;11;11;"When Israel was a child, I loved him,"
Hosea;11;2;"The more they were called,"
Hosea;11;3;"Yet it was I who taught Ephraim to walk;"
Hosea;11;4;"I led them with cords of kindness,"
Hosea;11;5;"They shall not return to the land of Egypt,"
Hosea;11;6;"The sword shall rage against their cities,"
Hosea;11;7;"My people are bent on turning away from me,"
Hosea;11;8;"How can I give you up, O Ephraim?"
Hosea;11;9;"I will not execute my burning anger;"
Hosea;11;10;"They shall go after the Lord;"
Hosea;11;11;"they shall come trembling like birds from Egypt,"
Hosea;11;12;" Ephraim has surrounded me with lies,"
Hosea;12;12;"Ephraim feeds on the wind"
Hosea;12;2;"The Lord has an indictment against Judah"
Hosea;12;3;"In the womb he took his brother by the heel,"
Hosea;12;4;"He strove with the angel and prevailed;"
Hosea;12;5;"the Lord, the God of hosts,"
Hosea;12;6;"“So you, by the help of your God, return,"
Hosea;12;7;"A merchant, in whose hands are false balances,"
Hosea;12;8;"Ephraim has said, “Ah, but I am rich;"
Hosea;12;9;"I am the Lord your God"
Hosea;12;10;"I spoke to the prophets;"
Hosea;12;11;"If there is iniquity in Gilead,"
Hosea;12;12;"Jacob fled to the land of Aram;"
Hosea;12;13;"By a prophet the Lord brought Israel up from Egypt,"
Hosea;12;14;"Ephraim has given bitter provocation;"
Hosea;13;13;"When Ephraim spoke, there was trembling;"
Hosea;13;2;"And now they sin more and more,"
Hosea;13;3;"Therefore they shall be like the morning mist"
Hosea;13;4;"But I am the Lord your God"
Hosea;13;5;"It was I who knew you in the wilderness,"
Hosea;13;6;"but when they had grazed, they became full,"
Hosea;13;7;"So I am to them like a lion;"
Hosea;13;8;"I will fall upon them like a bear robbed of her cubs;"
Hosea;13;9;"He destroys you, O Israel,"
Hosea;13;10;"Where now is your king, to save you in all your cities?"
Hosea;13;11;"I gave you a king in my anger,"
Hosea;13;12;"The iniquity of Ephraim is bound up;"
Hosea;13;13;"The pangs of childbirth come for him,"
Hosea;13;14;"I shall ransom them from the power of Sheol;"
Hosea;13;15;"Though he may flourish among his brothers,"
Hosea;13;16;" Samaria shall bear her guilt,"
Hosea;14;14;"Return, O Israel, to the Lord your God,"
Hosea;14;2;"Take with you words"
Hosea;14;3;"Assyria shall not save us;"
Hosea;14;4;"I will heal their apostasy;"
Hosea;14;5;"I will be like the dew to Israel;"
Hosea;14;6;"his shoots shall spread out;"
Hosea;14;7;"They shall return and dwell beneath my shadow;"
Hosea;14;8;"O Ephraim, what have I to do with idols?"
Hosea;14;9;"Whoever is wise, let him understand these things;"
