Book;Chapter;Verse;Content
Isaiah;5;26;"He will raise a signal for nations far away,"
Isaiah;5;27;"None is weary, none stumbles,"
Isaiah;5;28;"their arrows are sharp,"
Isaiah;5;29;"Their roaring is like a lion,"
Isaiah;5;30;"They will growl over it on that day,"
Isaiah;6;6;"In the year that King Uzziah died I saw the Lord sitting upon a throne, high and lifted up; and the train of his robe filled the temple."
Isaiah;6;2;"Above him stood the seraphim. Each had six wings: with two he covered his face, and with two he covered his feet, and with two he flew."
Isaiah;6;3;"And one called to another and said:"
Isaiah;6;4;"And the foundations of the thresholds shook at the voice of him who called, and the house was filled with smoke."
Isaiah;6;5;"And I said: “Woe is me! For I am lost; for I am a man of unclean lips, and I dwell in the midst of a people of unclean lips; for my eyes have seen the King, the Lord of hosts!”"
Isaiah;6;6;"Then one of the seraphim flew to me, having in his hand a burning coal that he had taken with tongs from the altar."
Isaiah;6;7;"And he touched my mouth and said: “Behold, this has touched your lips; your guilt is taken away, and your sin atoned for.”"
Isaiah;6;8;"And I heard the voice of the Lord saying, “Whom shall I send, and who will go for us?” Then I said, “Here I am! Send me.”"
Isaiah;6;9;"And he said, “Go, and say to this people:"
Isaiah;6;10;"Make the heart of this people dull,"
Isaiah;6;11;"Then I said, “How long, O Lord?”"
Isaiah;6;12;"and the Lord removes people far away,"
Isaiah;6;13;"And though a tenth remain in it,"
Isaiah;7;7;"In the days of Ahaz the son of Jotham, son of Uzziah, king of Judah, Rezin the king of Syria and Pekah the son of Remaliah the king of Israel came up to Jerusalem to wage war against it, but could not yet mount an attack against it."
Isaiah;7;2;"When the house of David was told, “Syria is in league with Ephraim,” the heart of Ahaz and the heart of his people shook as the trees of the forest shake before the wind."
Isaiah;7;3;"And the Lord said to Isaiah, “Go out to meet Ahaz, you and Shear-jashub your son, at the end of the conduit of the upper pool on the highway to the Washer's Field."
Isaiah;7;4;"And say to him, ‘Be careful, be quiet, do not fear, and do not let your heart be faint because of these two smoldering stumps of firebrands, at the fierce anger of Rezin and Syria and the son of Remaliah."
Isaiah;7;5;"Because Syria, with Ephraim and the son of Remaliah, has devised evil against you, saying,"
Isaiah;7;6;"“Let us go up against Judah and terrify it, and let us conquer it for ourselves, and set up the son of Tabeel as king in the midst of it,”"
Isaiah;7;7;"thus says the Lord God:"
Isaiah;7;8;"For the head of Syria is Damascus,"
Isaiah;7;9;"And the head of Ephraim is Samaria,"
Isaiah;7;10;"Again the Lord spoke to Ahaz:"
Isaiah;7;11;"“Ask a sign of the Lord your God; let it be deep as Sheol or high as heaven.”"
Isaiah;7;12;"But Ahaz said, “I will not ask, and I will not put the Lord to the test.”"
Isaiah;7;13;"And he said, “Hear then, O house of David! Is it too little for you to weary men, that you weary my God also?"
Isaiah;7;14;"Therefore the Lord himself will give you a sign. Behold, the virgin shall conceive and bear a son, and shall call his name Immanuel."
