Book;Chapter;Verse;Content
Amos;7;9;"the high places of Isaac shall be made desolate,"
Amos;7;10;"Then Amaziah the priest of Bethel sent to Jeroboam king of Israel, saying, “Amos has conspired against you in the midst of the house of Israel. The land is not able to bear all his words."
Amos;7;11;"For thus Amos has said,"
Amos;7;12;"And Amaziah said to Amos, “O seer, go, flee away to the land of Judah, and eat bread there, and prophesy there,"
Amos;7;13;"but never again prophesy at Bethel, for it is the king's sanctuary, and it is a temple of the kingdom.”"
Amos;7;14;"Then Amos answered and said to Amaziah, “I was no prophet, nor a prophet's son, but I was a herdsman and a dresser of sycamore figs."
Amos;7;15;"But the Lord took me from following the flock, and the Lord said to me, ‘Go, prophesy to my people Israel.’"
Amos;7;16;"Now therefore hear the word of the Lord."
Amos;7;17;"Therefore thus says the Lord:"
Amos;8;8;"This is what the Lord God showed me: behold, a basket of summer fruit."
Amos;8;2;"And he said, “Amos, what do you see?” And I said, “A basket of summer fruit.” Then the Lord said to me,"
Amos;8;3;"The songs of the temple shall become wailings in that day,”"
Amos;8;4;"Hear this, you who trample on the needy"
Amos;8;5;"saying, “When will the new moon be over,"
Amos;8;6;"that we may buy the poor for silver"
Amos;8;7;"The Lord has sworn by the pride of Jacob:"
Amos;8;8;"Shall not the land tremble on this account,"
Amos;8;9;"“And on that day,” declares the Lord God,"
Amos;8;10;"I will turn your feasts into mourning"
Amos;8;11;"“Behold, the days are coming,” declares the Lord God,"
Amos;8;12;"They shall wander from sea to sea,"
Amos;8;13;"“In that day the lovely virgins and the young men"
Amos;8;14;"Those who swear by the Guilt of Samaria,"
Amos;9;9;"I saw the Lord standing beside the altar, and he said:"
Amos;9;2;"“If they dig into Sheol,"
Amos;9;3;"If they hide themselves on the top of Carmel,"
Amos;9;4;"And if they go into captivity before their enemies,"
Amos;9;5;"The Lord God of hosts,"
Amos;9;6;"who builds his upper chambers in the heavens"
Amos;9;7;"“Are you not like the Cushites to me,"
Amos;9;8;"Behold, the eyes of the Lord God are upon the sinful kingdom,"
Amos;9;9;"“For behold, I will command,"
Amos;9;10;"All the sinners of my people shall die by the sword,"
Amos;9;11;"“In that day I will raise up"
Amos;9;12;"that they may possess the remnant of Edom"
Amos;9;13;"“Behold, the days are coming,” declares the Lord,"
Amos;9;14;"I will restore the fortunes of my people Israel,"
Amos;9;15;"I will plant them on their land,"
