Book;Chapter;Verse;Content
Psalm;11;3;"if the foundations are destroyed,"
Psalm;11;4;"The Lord is in his holy temple;"
Psalm;11;5;"The Lord"
Psalm;11;6;"Let him rain coals on the wicked;"
Psalm;11;7;"For the Lord is righteous;"
Psalm;12;12;"Save, O Lord, for the godly one is gone;"
Psalm;12;2;"Everyone utters lies to his neighbor;"
Psalm;12;3;"May the Lord cut off all flattering lips,"
Psalm;12;4;"those who say, “With our tongue we will prevail,"
Psalm;12;5;"“Because the poor are plundered, because the needy groan,"
Psalm;12;6;"The words of the Lord are pure words,"
Psalm;12;7;"You, O Lord, will keep them;"
Psalm;12;8;"On every side the wicked prowl,"
Psalm;13;13;"How long, O Lord? Will you forget me forever?"
Psalm;13;2;"How long must I take counsel in my soul"
Psalm;13;3;"Consider and answer me, O Lord my God;"
Psalm;13;4;"lest my enemy say, “I have prevailed over him,”"
Psalm;13;5;"But I have trusted in your steadfast love;"
Psalm;13;6;"I will sing to the Lord,"
Psalm;14;14;"The fool says in his heart, “There is no God.”"
Psalm;14;2;"The Lord"
Psalm;14;3;"They have all turned aside; together they have become corrupt;"
Psalm;14;4;"Have they no knowledge, all the evildoers"
Psalm;14;5;"There they are in great terror,"
Psalm;14;6;"You would shame the plans of the poor,"
Psalm;14;7;"Oh, that salvation for Israel would come out of Zion!"
Psalm;15;15;"O Lord, who shall sojourn in your tent?"
Psalm;15;2;"He who walks blamelessly and does what is right"
Psalm;15;3;"who does not slander with his tongue"
Psalm;15;4;"in whose eyes a vile person is despised,"
Psalm;15;5;"who does not put out his money at interest"
Psalm;16;16;"Preserve me, O God, for in you I take refuge."
Psalm;16;2;"I say to the Lord, “You are my Lord;"
Psalm;16;3;"As for the saints in the land, they are the excellent ones,"
Psalm;16;4;"The sorrows of those who run after another god shall multiply;"
Psalm;16;5;"The Lord is my chosen portion and my cup;"
Psalm;16;6;"The lines have fallen for me in pleasant places;"
Psalm;16;7;"I bless the Lord who gives me counsel;"
Psalm;16;8;"I have set the Lord always before me;"
Psalm;16;9;"Therefore my heart is glad, and my whole being rejoices;"
Psalm;16;10;"For you will not abandon my soul to Sheol,"
